id,car_variant,year_of_vehicle_manufacture,month_of_vehicle_manufacture,odometer_reading,odometer_reading_present,vehicle_fuel_type,registered_color,vehicle_make,vehicle_model,accidental_vehicle,city,car_valuation
179,S i-VTEC,2022,7,107652.0,1,Petrol,,Honda,Amaze,,Ghaziabad,712373.0
697,VDi,2015,1,154328.0,1,Diesel,,Maruti,Swift,,Bangalore,510875.0
222,mFALCON D75 K8,2018,4,57935.0,1,Diesel,,Mahindra,KUV 100,,Kodgu,663800.0
287,VDi,2016,2,148542.0,1,Diesel,,Maruti,SWIFT,,Cuddalore,586300.0
288,VXI Plus,2017,9,,0,Petrol,,Maruti,Wagon R,,Bangalore,498526.0
151,PRIME T CRDI BSIV,2018,2,,0,Diesel,,HYUNDAI,GRAND I10,,Kancheepuram,440368.0
637,ERTIGA,2016,9,,0,Diesel,,MARUTI SUZUKI INDIA LTD,VDI,,Delhi,632643.0
628,HTX G,2020,12,57246.0,1,Petrol,,Kia,Seltos,,Faridabad,1346000.0
640,WR V 1.2 VX MT,2017,9,,0,Petrol,,Honda,WR V 1.2 VX MT,,Hyderabad,552963.0
106,1.4 CRDi Asta,2015,5,139659.0,1,Diesel,,Hyundai,i20,,Tiruppur,569980.0
85,ZXi,2019,11,13477.0,1,Petrol,,Maruti,Ertiga,,Mangalore,1011607.0
281,2 5 G,2014,7,,0,Diesel,,TOYOTA,INNOVA,,Chennai,1256342.0
68,1.2 DURATEC PETROL ZXI,2012,1,,0,Petrol,,FORD,FIGO,,Chennai,250641.0
111,SV MT,2014,5,117275.0,1,Petrol,,Honda,City,,Jaipur,505000.0
236,S,2020,10,21310.0,1,Petrol,,Hyundai,Venue,,Surat,842600.0
352,LXi,2019,12,27723.0,1,Petrol,,Maruti,Alto,,Gurgaon,327254.0
578,2.5 E,2014,8,137578.0,1,Diesel,,Toyota,Innova / Crysta,,Shivamoga,1073500.0
767,VDi,2014,5,80347.0,1,Diesel,,Maruti,Swift,,Rajkot,439215.0
1,RXL DCI BS,2016,1,,0,Diesel,,RENUALT,DUSTER,,Chennai,776640.0
241,Vxi,2020,8,60560.0,1,Petrol,,Maruti,Swift,,Faridabad,622500.0
261,VXI 1.2,2022,6,20543.0,1,Petrol,,Maruti,Dzire,,New Delhi,816100.0
142,LXI CNG,2018,2,,0,Petrol + CNG,,Maruti,Wagon R,,Delhi,470867.0
540,CIAZ,2018,3,,0,Petrol,,Maruti,Ciaz S,,Bangalore,719388.0
454,LXI Optional,2016,11,45850.0,1,Petrol,,Maruti,Alto K10,,Ghaziabad,260389.0
577,VXI BS IV,2016,4,56021.0,1,Petrol,,Maruti,WAGON R,,Haryana,343670.0
485,DCI RXZ JSRGW4,2016,6,,0,Diesel,,RENAULT NISSAN,RENAULT LODGY,,Cuddalore,591138.0
292,SX iMT,2022,1,42479.0,1,Diesel,,Hyundai,Venue,,Nagpur,1162600.0
567,Magna,2016,6,58322.0,1,Petrol,,Hyundai,i20,,Ghaziabad,464200.0
332,ZXi Plus,2017,1,65160.0,1,Petrol,,Maruti,Ertiga,,Puthur,833500.0
27,VTVT 1.6 SX,2013,6,137575.0,1,Petrol + CNG,,Hyundai,Verna,,Nashik,440900.0
49,Sportz,2019,2,160748.0,1,Petrol + CNG,,Hyundai,Grand i10,,Rajsamand,432685.0
128,RAPID STYLE PLUS AT 1 5 TDI CR,2016,1,,0,Diesel,,SKODA AUTO INDIA PVT LTD,RAPID STYLE PLUS AT 1 5 TDI CR,,Coimbatore,725391.0
348,Magna,2019,1,93343.0,1,Petrol + CNG,,Hyundai,Grand i10,,Pune,452504.0
0,Asta 1.4 CRDi,2015,7,75800.0,1,Diesel,,Hyundai,i20,,Jaipur,604212.0
556,Vxi,2016,7,100909.0,1,Petrol,,Maruti,Alto K10,,West Delhi,286501.0
175,1.5 DV5 MT Titanium,2013,9,,0,Diesel,,Ford,Ecosport,,Jaipur,355687.0
583,Vxi,2022,3,7618.0,1,Petrol,,Maruti,Swift,,Ghaziabad,626269.0
176,LX 4-Str Hard Top Diesel,2021,4,25239.0,1,Diesel,,Mahindra,Thar,,Delhi,1473837.0
620,1.2 Revotron XM,2019,1,59207.0,1,Petrol,,Tata,Nexon,,Ghaziabad,602918.0
388,XE,2019,8,62319.0,1,Diesel,,Tata,Bolt,,Hoshiarpur,501500.0
617,1.2 Revotron XB,2018,12,49081.0,1,Petrol,,Tata,TIAGO,,Delhi,545000.0
503,1.6 CRDi SX Option,2019,4,25085.0,1,Diesel,,Hyundai,Verna,,Jaipur,986252.0
340,1.2 V i VTEC,2017,5,34300.0,1,Petrol,,Honda,Jazz,,Coimbatore,582972.0
116,XE 85 PS,2016,3,,0,Diesel,,Nissan,Terrano 2013-2017,,Coimbatore,745356.0
560,Magna,2017,1,69219.0,1,Petrol,,Hyundai,Grand i10,,Delhi,393800.0
699,LXI CNG,2021,4,44220.0,1,Petrol + CNG,,Maruti,WAGON R,,Gwalior,592300.0
552,ALTO 800 GREEN LXI,2017,6,61144.0,1,Petrol + CNG,,MARUTI,ALTO 800,,Ghaziabad,289289.0
387,T O,2018,10,,0,Petrol,,NISSAN,REDIGO,,New Delhi,258461.0
11,ACTIVE CRDI SX BS4,2015,6,,0,Diesel,,HYUNDAI,I20,,Pudukkottai,638257.0
217,LXi,2018,3,102762.0,1,Petrol + CNG,,Maruti,WAGON R,,Pune,407934.0
339,1.6 Highline,2014,1,,0,Diesel,,Volkswagen,Vento 2013-2015,,Bangalore,653447.0
429,HTX G,2021,1,18553.0,1,Petrol,,Kia,Seltos,,North Delhi,1196960.0
537,2.4 GX 7 STR,2017,4,124708.0,1,Diesel,,Toyota,Innova / Crysta,,Cuddalore,1500000.0
695,Vxi,2021,10,52308.0,1,Petrol,,Maruti,Swift,,Udaipur,735651.0
225,VDI,2014,5,,0,Diesel,,Maruti,Swift Dzire,,Jaipur,506125.0
741,E MPI STD BSIV,2014,9,153066.0,1,Petrol,,Maruti,Omni,,Tarikere,240000.0
381,Sportz AT,2015,12,79602.0,1,Diesel,,Hyundai,i10,,Junagadh,440300.0
494,LDi Option,2018,2,57615.0,1,Diesel,,Maruti,Vitara Brezza,,Ludhiana,628900.0
53,VDI,2016,12,,0,Diesel,,Maruti,Swift 2016,,Ghaziabad,525342.0
768,2.4 ZX 7 STR,2014,4,111066.0,1,Diesel,,Toyota,Innova / Crysta,,Bengaluru,776488.0
400,LXi,2016,5,44340.0,1,Petrol,,Maruti,Alto,,Ludhiana,277800.0
459,1.2 Revotron XE,2021,8,45778.0,1,Petrol,,Tata,Tiago,,South Delhi,412358.0
554,Vxi,2022,5,9893.0,1,Petrol,,Maruti,Swift,,Tumakuru,732200.0
159,CNG LXI,2022,3,33977.0,1,Petrol + CNG,,Maruti,Wagon R,,Thane,628500.0
23,XMS 1 2 RT 90PS ABS,2015,1,,0,Petrol,,TATA,ZEST,,Kancheepuram,346452.0
342,SMART HYBRID VXI,2020,11,,0,Petrol,,MARUTI SUZUKI INDIA LTD,ERTIGA,,Kancheepuram,935161.0
413,Sportz,2016,3,,0,Petrol,,Hyundai,i20,,Bangalore,578644.0
331,VLX AT AIRBAG BSIV,2014,7,,0,Diesel,,Mahindra,Scorpio 2009-2014,,Bangalore,691283.0
199,CRETA 1.6 VTVT SX O,2019,8,,0,Petrol,,HYUNDAI,CRETA 1.6 VTVT SX O,,Warangal,1376825.0
302,SMT,2012,4,,0,Petrol,,Honda,Brio 2011-2013,,Palam,210691.0
101,COROLLA ALTIS D4DJ,2014,7,,0,Diesel,,TOYOTA,COROLLA ALTIS,,Rajkot,606881.0
226,Magna,2015,8,82829.0,1,Diesel,,Hyundai,Grand i10,,Ludhiana,420100.0
243,EECO 5 SEATER WITH AC HTR,2021,8,,0,Petrol + CNG,,Maruti,Eeco,,Delhi,480403.0
760,S11,2020,7,92261.0,1,Diesel,,Mahindra,Scorpio,,Rajkot,1440754.0
524,Accomplished MT,2021,11,20408.0,1,Petrol,,Tata,Punch,,Karanja,760918.0
582,VERNA 1 6 CRDI SX,2014,6,,0,Diesel,,Hyundai,VERNA 1 6 CRDI SX,,Hyderabad,541532.0
432,1.6 CRDI,2012,6,,0,Diesel,,Hyundai,Verna 2011-2014,,Rajkot,428140.0
647,ZDi,2018,5,53000.0,1,Diesel,,Maruti,Vitara Brezza,,Meerut,760000.0
253,S i-VTEC,2015,2,78921.0,1,Petrol,,Honda,Amaze,,Meerut,370200.0
264,VX CVT Diesel,2018,9,114023.0,1,Diesel,,Honda,Amaze,,Chennai,854600.0
203,Sigma,2021,4,29502.0,1,Petrol + CNG,,Maruti,Baleno,,Faridabad,613480.0
416,1.4 CRDi,2019,7,47277.0,1,Diesel,,Hyundai,Venue,,Lucknow,867172.0
230,1.0L MPI,2018,10,,0,Petrol,,Volkswagen,Polo,,Bangalore,780684.0
157,1.6 CRDI SX,2018,8,86543.0,1,Diesel,,Hyundai,Verna,,Gurdwara Patiala,928890.0
775,1.5 V i DTEC,2017,7,79390.0,1,Diesel,,Honda,Jazz,,Mangalore,605816.0
632,XM,2018,7,,0,Petrol,,Tata,Nexon,,Bangalore,689881.0
408,VTVT S,2016,11,103742.0,1,Petrol,,Hyundai,Elantra,,Salem,789500.0
119,LXI,2018,4,35385.0,1,Petrol,,MARUTI,ALTO 800,,Delhi,315641.0
354,1.0LTSI,2022,9,13636.0,1,Petrol,,Volkswagen,Taigun,,Hyderabad,1568000.0
749,LXi,2014,5,57354.0,1,Petrol + CNG,,Maruti,Wagon R,,New Delhi,290070.0
657,1.5 SV MT I DTEC,2014,7,,0,Diesel,,HONDA,CITY,,Chennai,720606.0
590,T Option,2017,5,23827.0,1,Petrol,,Datsun,RediGO,,Udaipur,221079.0
229,ZDi,2014,5,211620.0,1,Diesel,,Maruti,ERTIGA,,Bangalore,580204.0
118,EECO 5 SEATER WITH AC HTR,2015,5,,0,Petrol + CNG,,Maruti,Eeco,,Rajkot,352840.0
380,GTX Plus,2020,2,35441.0,1,Diesel,,Kia,Seltos,,Chennai,1889200.0
419,LXi,2018,8,42705.0,1,Petrol,,Maruti,Alto 800,,Mangalore,321622.0
189,5 Seater AC,2019,7,26755.0,1,Petrol + CNG,,Maruti,Eeco,,Ghaziabad,471479.0
115,FWD W8,2013,8,,0,Diesel,,Mahindra & Mahindra Limited,XUV500,,Surat,733087.0
171,SX Opt iMT,2019,7,94445.0,1,Diesel,,Hyundai,Venue,,Dahanu,739488.0
317,VXI CNG,2020,8,58564.0,1,Petrol + CNG,,Maruti,Celerio,,Faridabad,564974.0
466,1 5 TI VCT P TIT AT,2016,10,,0,Petrol,,FORD,FIGO ASPIRE,,Tiruvallur,643892.0
672,Asta,2017,12,24684.0,1,Petrol,,Hyundai,i20,,Villupuram,668500.0
671,FL 1.6 VTVT SXO BSIV,2014,1,,0,Diesel,,HYUNDAI,VERNA,,Chennai,595492.0
569,S O,2015,1,,0,Petrol + CNG,,Hyundai,Xcent 2014-2016,,Rajkot,350034.0
32,VXI,2019,8,,0,Petrol,,MARUTI SUZUKI INDIA LTD,SWIFT,,Kancheepuram,675200.0
586,ASTA 1.4 CRDI,2018,1,,0,Petrol,,Hyundai,I20 ASTA 1.4 CRDI,,Bangalore,701153.0
166,RxL,2021,7,6544.0,1,Petrol,,Renault,Triber,,Viluppuram,591708.0
107,VXI,2014,11,,0,Petrol,,Maruti,Swift,,Bangalore,474408.0
694,2.5 VX (Diesel) 7 Seater,2012,12,,0,Diesel,,Toyota,Innova,,Bangalore,1109857.0
183,1.6 VTVT SX Plus,2015,7,145935.0,1,Petrol + CNG,,Hyundai,Creta,,North Delhi,749602.0
534,ZXI AT,2015,11,,0,Petrol,,Maruti,Celerio 2014-2017,,Jaipur,407642.0
194,S11,2019,3,118155.0,1,Diesel,,Mahindra,Scorpio,,Uttar Pradesh,1373300.0
275,E,2022,4,34246.0,1,Diesel,,Hyundai,CRETA,,Shimoga,1231100.0
482,Delta,2021,12,23030.0,1,Petrol,,Maruti,Baleno,,Kolar,800000.0
673,1.3 Alpha,2017,3,134041.0,1,Diesel,,Maruti,Ciaz,,Ludhiana,689300.0
525,1.5 TDI Highline Plus,2015,6,66478.0,1,Diesel,,Volkswagen,Vento,,Nashik,478200.0
458,Vxi,2021,12,22105.0,1,Petrol,,Maruti,Swift,,Rajsamand,674679.0
69,AMT VXI BSIV,2019,2,28844.0,1,Petrol,,Maruti,SWIFT,,Mahabubnagar,657900.0
724,1.0 RXT BSIV,2016,11,72274.0,1,Petrol,,Renault,KWID,,Coimbatore,358100.0
170,ZLX BSIII,2016,3,106017.0,1,Diesel,,Mahindra,Bolero,,Salem,820000.0
752,HIGHLNE,2013,6,,0,Diesel,,Volkswagen,Polo,,Rajkot,465205.0
59,1.6 SX Diesel,2016,11,104780.0,1,Diesel,,Hyundai,Creta,,Ludhiana,832300.0
172,1.6 CRDI SX,2015,11,101328.0,1,Diesel,,Hyundai,CRETA,,Yavatmal,832000.0
88,1 6 VTVT SXP,2015,7,,0,Petrol,,HYUNDAI,CRETA 1 6 VTVT SXP,,Coimbatore,948666.0
575,VDi,2017,2,65570.0,1,Diesel,,Maruti,Swift Dzire,,Patiala,655613.0
729,zxi,2013,11,,0,Petrol,,Maruti,ERTIGA,,Malad East,538367.0
473,Zeta,2021,6,57642.0,1,Petrol,,Maruti,BALENO,,Baramati,694465.0
517,E MT,2014,7,67295.0,1,Petrol,,Honda,Brio,,Ghaziabad,278836.0
596,ZXi,2021,7,48390.0,1,Petrol,,Maruti,Ertiga,,Vellore,1087500.0
492,VXI,2018,6,,0,Petrol,,Maruti Suzuki india ltd,Maruti Dzire VXI,,PUDUKOTTAI,650519.0
210,CNG LXI Opt,2021,3,41913.0,1,Petrol + CNG,,Maruti,Wagon R,,New Delhi,537108.0
677,VDI,2015,12,,0,Diesel,,Maruti,Swift Dzire,,Jaipur,654948.0
363,CIAZ S,2018,3,,0,Petrol,,Maruti,Ciaz s,,Bangalore,702011.0
67,85 PS RXL,2014,2,77568.0,1,Diesel,,Renault,Duster,,Surat,529935.0
688,VX i-DTEC,2019,6,80743.0,1,Diesel,,Honda,Amaze,,Jaipur,790698.0
246,Era,2014,7,74608.0,1,Petrol,,Hyundai,EON,,Khopoli,280000.0
438,1 2 MPI COMFORTLINE,2015,6,,0,Petrol,,VOLKSWAGEN,POLO,,Chennai,459376.0
244,2WD,2019,8,50666.0,1,Diesel,,Isuzu,MUX,,Bang441,2345300.0
778,Titanium Diesel,2018,5,96613.0,1,Diesel,,Ford,Freestyle,,Ghaziabad,495593.0
181,LXI 1.2,2020,8,20741.0,1,Petrol,,Maruti,Dzire,,Puducherry,603196.0
629,LXi,2023,4,4676.0,1,Petrol,,Maruti,Swift,,Gurgoan,606200.0
293,VDi,2015,10,166723.0,1,Diesel,,Maruti,Ertiga,,Thane,667700.0
772,G,2021,1,49700.0,1,Petrol,,Toyota,Glanza,,Ballabgarh,722936.0
50,Zeta,2020,7,66042.0,1,Petrol,,Maruti,Baleno,,Ludhiana,707100.0
489,1.5 TDI Comfortline,2017,3,88448.0,1,Diesel,,Volkswagen,Ameo,,Coimbatore,525830.0
444,XM,2019,5,,0,Diesel,,Tata,Nexon,,NEW DELHI,650770.0
455,INNOVA CRYSTA,2014,7,,0,Diesel,,Toyota,Innova Crysta 2016-2020,,Jaipur,1037622.0
580,C CLASS 220 BLUEEFFICIENCY,2012,6,,0,Diesel,,MERCEDES,C CLASS 220 BLUEEFFICIENCY,,Tiruvannamalai,1486595.0
531,W10 2WD,2017,3,86455.0,1,Diesel,,Mahindra,XUV500,,Nagpur,833714.0
664,ZDi,2016,5,100400.0,1,Diesel,,Maruti,Vitara Brezza,,Bangalore,710000.0
676,1.4 CRDi S,2017,6,87513.0,1,Diesel,,Hyundai,CRETA,,Udaipur,869500.0
206,Vxi,2021,10,38731.0,1,Petrol,,Maruti,Swift,,Palwal,647169.0
598,VXI AMT,2019,9,53787.0,1,Petrol,,Maruti,SWIFT,,Pune,477293.0
591,S,2019,7,15448.0,1,Petrol,,Hyundai,Venue,,Nagpur,790448.0
375,M8,2019,1,26239.0,1,Diesel,,Mahindra,Marazzo,,Coimbatore,1370300.0
705,WAGON R VXI,2015,8,,0,Petrol,,Maruti,WAGON R VXI,,Hyderabad,394099.0
279,E MPI STD BSIV,2018,5,21795.0,1,Petrol,,Maruti,Omni,,Salem,281400.0
536,S CNG,2023,2,6209.0,1,Petrol + CNG,,Hyundai,Aura,,Palwal,849900.0
507,1.5 Diesel Titanium,2017,1,59789.0,1,Diesel,,Ford,EcoSport,,Thane,741106.0
216,MAGNA 1 2 M,2013,2,,0,Petrol,,HYUNDAI,I10,,Tiruvallur,301499.0
740,5 Seater AC,2019,8,67624.0,1,Petrol + CNG,,Maruti,Eeco,,Faridabad,440167.0
369,XF 3 0L Premium Luxury,2014,6,80104.0,1,Diesel,,Jaguar,XF,,Chennai,2906800.0
215,Sigma,2018,9,65052.0,1,Petrol,,Maruti,Baleno,,Lucknow,508663.0
406,S6 7 Seater,2017,3,,0,Diesel,,Mahindra,MAHINDRA SCORPIO S6+ 1.99IH2WD,,New Delhi,564280.0
512,7 Seater STD,2022,1,43247.0,1,Petrol,,Maruti,Eeco,,Ghaziabad,489200.0
464,1.6 CR MT HIGHLINE,2014,10,,0,Diesel,,VOLKSWAGEN,VENTO,,Coimbatore,580555.0
683,SLX,2018,6,152193.0,1,Diesel,,Mahindra,Bolero Power Plus,,Salem,712041.0
733,W7,2018,8,66266.0,1,Diesel,,Mahindra,XUV500,,Tiruppur,1388959.0
129,VXI CNG,2021,1,54665.0,1,Petrol + CNG,,Maruti,Celerio,,Palwal,633000.0
315,1.2 MPI Comfortline,2016,4,73939.0,1,Diesel,,Volkswagen,Polo,,Kanchipuram,626637.0
100,i VTEC CVT VX,2019,4,62425.0,1,Petrol,,Honda,City,,Nagpur,1064900.0
779,1.0 RXL AMT,2021,2,25978.0,1,Petrol,,Renault,KWID,,Bhilwara,418606.0
144,1.6 CRDi SX Option,2017,11,136375.0,1,Diesel,,Hyundai,CRETA,,Nagpur,1024625.0
681,VW POLO GT 1 2 TSI,2015,9,18972.0,1,Petrol,,Volkswagen,Polo GT,,Coimbatore,726779.0
320,W7,2018,9,,0,Diesel,,Mahindra,XUV500,,Bangalore,1186016.0
273,Magna Optional 1.4 CRDi,2013,6,,0,Diesel,,Hyundai,i20 2012-2014,,Rajkot,408139.0
480,ZXi,2021,12,11444.0,1,Petrol,,Maruti,Celerio,,Thane,688426.0
653,Vxi,2016,12,67650.0,1,Petrol,,Maruti,WAGON R,,Delhi,321141.0
96,Vxi,2021,3,12455.0,1,Petrol,,Maruti,WAGON R,,Agra,593400.0
662,CNG LXI,2016,1,,0,Petrol + CNG,,Maruti,Wagon R,,Delhi,386597.0
177,ZDi Plus,2018,2,76928.0,1,Diesel,,Maruti,Vitara Brezza,,Gurgaur,798862.0
347,SX,2023,7,85.0,1,Petrol,,Hyundai,Verna,,Sultanpur,1330000.0
471,1.5 E MT,2014,1,110548.0,1,Diesel,,Honda,City,,Vijayapura,502958.0
298,Sigma,2018,10,,0,Petrol,,Maruti,Ignis,,Delhi,360425.0
754,Asta 1.4 CRDi,2015,11,121917.0,1,Diesel,,Hyundai,i20,,Jamnagar,496200.0
603,RXZ,2022,6,17339.0,1,Petrol,,Renault,Triber,,Pune,716697.0
370,1.6 VTVT,2,2,,0,Petrol,,Hyundai,Verna 2011-2014,,Rajkot,434348.0
6,ERA,2015,4,,0,Petrol,,Hyundai,EON,,Bangalore,261101.0
423,LXi,2020,10,52042.0,1,Petrol,,Maruti,Swift,,Faridabad,536400.0
661,Zeta,2021,10,30000.0,1,Petrol,,Maruti,Baleno,,Udaipur,713079.0
530,S5,2021,7,35424.0,1,Diesel,,Mahindra,Scorpio,,Delhi,1349272.0
633,5 Seater AC,2016,2,70705.0,1,Petrol + CNG,,Maruti,Eeco,,Ghaziabad,322098.0
290,1 5D TIT P MT BSIV,2017,5,87645.0,1,Diesel,,Ford,EcoSport,,Salem,782100.0
268,RAPID ELEGANCE PLUS 1.5 TDI,2015,5,,0,Diesel,,Skoda,RAPID ELEGANCE PLUS 1.5 TDI,,Warangal,598702.0
609,VDi,2019,11,43630.0,1,Diesel,,Maruti,Vitara Brezza,,Faridabad,764993.0
651,VXi AT,2021,7,60337.0,1,Petrol,,Maruti,Ertiga,,Mumbai,1093414.0
566,LXi,2021,7,46318.0,1,Petrol + CNG,,Maruti,Alto,,Ghaziabad,448700.0
529,Zeta,2018,11,33980.0,1,Petrol,,Maruti,Baleno,,Jaipur,683754.0
720,Asta 1.4 CRDi,2016,1,92547.0,1,Diesel,,Hyundai,Elite i20,,Jalgaon,547300.0
13,VDI,2017,6,91494.0,1,Diesel,,Maruti,ERTIGA,,Bhayander,809300.0
304,LDi,2016,2,192066.0,1,Diesel,,Maruti,Ritz,,Cuddalore,394800.0
47,ZDi Plus,2017,8,128154.0,1,Diesel,,Maruti,Vitara Brezza,,Gautam Buddha Nagar,763392.0
34,G,2014,11,58802.0,1,Petrol,,Toyota,Etios,,Puducherry,456600.0
595,TATA NEXON XZ P,2017,10,,0,Diesel,,TATA MOTORS LTD,TATA NEXON XZ P,,Coimbatore,741132.0
162,HYUNDAI  CRETA 1 6 CRDI SX,2015,11,,0,Diesel,,HYUNDAI,HYUNDAI  CRETA 1 6 CRDI SX,,Villupuram,897750.0
558,RXZ 110 PS,2013,9,,0,Diesel,,RENAULT,DUSTER,,Tiruvallur,616057.0
462,AMAZE 1 5 V MT  I DTEC,2019,7,,0,Diesel,,HONDA,HONDA AMAZE,,Puducherry,717644.0
515,1.5 Revotorq XE,2021,4,44571.0,1,Diesel,,Tata,Nexon,,Faridabad,790052.0
218,Vdi BSIV,2015,8,100214.0,1,Diesel,,Maruti,Swift,,Thane,423430.0
121,Delta,2016,1,46314.0,1,Petrol,,Maruti,Baleno,,Bangalore,538500.0
600,VXI,2014,8,,0,Petrol,,MARUTI SUZUKI INDIA LTD,NEW WAGON R,,Tiruvallur,339132.0
45,1.4 E Plus,2018,8,146795.0,1,Diesel,,Hyundai,CRETA,,Manuguru,902500.0
405,GRAND I 10 SPORTZ,2019,3,,0,Petrol,,HYUNDAI,GRAND I 10 SPORTZ,,Pondicherry,572273.0
644,SWIFT VDI,2012,6,,0,Diesel,,MARUTI SUZUKI INDIA LTD,SWIFT VDI,,Rajkot,323976.0
593,2.5 G E4,2014,6,,0,Diesel,,Toyota,Innova 2.5G,,Bangalore,895476.0
679,VDi,2018,11,65000.0,1,Diesel,,Maruti,Ertiga,,Mumbai,839410.0
284,VDi,2014,9,109529.0,1,Diesel,,Maruti,Swift Dzire,,Patiala,383836.0
398,VXI 1.2,2022,2,39688.0,1,Petrol,,Maruti,Dzire,,Delhi,733205.0
